message_id,user_id,request_id,related_event_id,sent_at,source_type,message_text
message_01,user_02,,event_240,2025-07-27T09:30:00Z,employer,Your payroll details at Cobalt Systems have changed. Your monthly salary has increased to ZAR 44880. The change applies from 2025-08-15. The revised amount will appear on your next payslip. Payroll ref EMP-0001.
message_02,user_04,,event_485,2024-05-31T09:30:00Z,employer,Your payroll details at Cobalt Systems have changed. Your quarterly bonus is still subject to the final performance review. We’ll send another update once payroll confirms the amount and date. Payroll ref EMP-0002.
message_03,user_06,,,2025-12-30T09:30:00Z,employer,HarborWorks payroll has posted a new update. Your temporary monthly pay is INR 121680. The reduced amount continues for the next payroll. This is the amount currently scheduled for the affected pay cycle. Payroll ref EMP-0003.
message_04,user_08,,,2025-01-30T09:30:00Z,employer,"Hi, Cedar Health payroll here. Your next salary is reduced to USD 1606.80. The adjustment will be visible on your next payslip. Payroll ref EMP-0004."
message_05,user_10,,event_1221,2024-12-01T09:30:00Z,service_provider,Here’s the latest service update from TaskLoop. The next TaskLoop payout is still pending. The weekly earnings shown in the TaskLoop app can change until the payout is closed. The balance isn’t withdrawable until the payout shows as completed. Case ref SER-0005.
message_06,user_12,request_12,,2026-03-24T09:30:00Z,employer,A note from Northstar Labs about your upcoming pay. The current seasonal contract has ended. We’ll contact you separately if another shift block or contract is approved. Payroll ref EMP-0006.
message_07,user_14,,,2025-07-27T09:30:00Z,employer,Here’s the latest payroll information from Cobalt Systems. Regular salary of INR 229000 resumes on 2025-08-15. A new recurring childcare payment begins in the same month. The updated pay and deductions will appear from the next cycle. Payroll ref EMP-0007.
message_08,user_16,,event_1956,2024-05-27T09:30:00Z,service_provider,HomeKey wanted to let you know about a change on your account. The renewed lease increases monthly rent by 12%. The new amount will be used for the next rent payment. Case ref SER-0008.
message_09,user_18,request_18,,2026-07-05T09:30:00Z,bank,"Hi, Cedar Bank here. The matching debit and credit came from a transfer between your two accounts. Both accounts are registered under the same account holder. Both entries will remain visible in your transaction history. Txn ref BAN-0009."
message_10,user_20,,event_2447,2025-02-02T09:30:00Z,merchant,"Ada pembaruan singkat dari BuyBox tentang pesanan Anda. Pengembalian dana sudah diproses, tetapi belum masuk ke rekening Anda. Kami akan mengirim pembaruan saat kredit sudah selesai. Ref pesanan MER-0010."
message_11,user_22,request_22,,2024-11-25T09:30:00Z,financial_service,Northstar Funds has shared an update about your funds. Your portfolio’s displayed market value has increased substantially. No units have been sold and no cash proceeds have been generated. The displayed value will continue to move with market prices. Account ref FIN-0011.
message_12,user_24,,event_2944,2025-12-28T09:30:00Z,financial_service,ClaimDesk has shared an update about your funds. The prize proceeds have reached your account after withholding. There won’t be another payment unless a separate prize is confirmed. Account ref FIN-0012.
message_13,user_26,,,2025-08-01T09:30:00Z,service_provider,Ada pemberitahuan dari WorkPort tentang aktivitas akun terbaru. Klien menyetujui pembayaran faktur sebesar IDR 30780000. Hanya faktur yang sudah dikonfirmasi yang dapat dimasukkan dalam pembayaran berikutnya. Ref kasus SER-0013.
message_14,user_27,request_27,,2026-06-24T09:30:00Z,service_provider,A note from QuickCrew about recent activity on your account. The next QuickCrew payout is still pending. The balance isn’t withdrawable until the payout shows as completed. Case ref SER-0014.
message_15,user_29,request_29,,2025-10-24T09:30:00Z,employer,Cedar Health payroll has posted a new update. The current seasonal contract has ended. No off-season income or renewal has been confirmed. We’ll contact you separately if another shift block or contract is approved. Payroll ref EMP-0015.
message_16,user_32,request_32,,2025-01-26T09:30:00Z,employer,A quick update from the payroll team at HarborWorks. Your first salary will be INR 133000. The money will appear after the bank posts the credit. Payroll ref EMP-0016.
message_17,user_33,,event_4049,2026-01-05T09:30:00Z,bank,Harbor Bank has reviewed the transaction on your account. The matching debit and credit came from a transfer between your two accounts. Both entries will remain visible in your transaction history. Txn ref BAN-0017.
message_18,user_34,request_34,,2024-11-27T09:30:00Z,service_provider,"Hi, InvoiceFlow here. The client approved an invoice payment of EUR 2464. Settlement is expected on 2024-12-15; the other submitted invoices are still awaiting approval. Only invoices marked as confirmed should be included in the upcoming payout. Case ref SER-0018."
message_19,user_35,,event_4294,2025-05-03T09:30:00Z,merchant,UrbanCart has new information about your payment or refund. Your refund has been initiated but has not reached your account yet. We’ll send another update when the credit is completed. Order ref MER-0019.
message_20,user_37,request_37,event_4538,2024-02-28T09:30:00Z,employer,A quick update from the payroll team at Cedar Health. Your regular salary for the next payroll is EUR 2409. Your next payslip will show the regular pay and any one-off adjustment separately. Payroll ref EMP-0020.
message_21,user_38,request_38,,2025-08-06T09:30:00Z,financial_service,A note from Rewards Desk about your recent financial activity. The prize proceeds have reached your account after withholding. The claim is now closed and there are no further scheduled payments. There won’t be another payment unless a separate prize is confirmed. Account ref FIN-0021.
message_22,user_40,,,2024-05-30T09:30:00Z,employer,BrightPath Media has updated your payroll record. Your first salary will be INR 170000. The money will appear after the bank posts the credit. Payroll ref EMP-0022.
message_23,user_43,,,2024-08-29T09:30:00Z,employer,"Hi, BrightPath Media payroll here. Your first salary from the new employer is INR 255000. It is confirmed for 2024-09-15. Bank processing may take the usual time after the payroll is released. Payroll ref EMP-0023."
message_24,user_44,,,2025-01-29T09:30:00Z,employer,Your payroll details at Northstar Labs have changed. Your first salary will be ZAR 23760. The confirmed credit date is 2025-02-15. The money will appear after the bank posts the credit. Payroll ref EMP-0024.
message_25,user_45,request_45,,2026-06-30T09:30:00Z,employer,Berikut informasi penggajian terbaru dari HarborWorks. Gaji bulanan Anda naik menjadi IDR 11020000. Jumlah yang diperbarui akan terlihat pada slip gaji berikutnya. Ref payroll EMP-0025.
message_26,user_47,request_47,,2025-04-25T09:30:00Z,service_provider,There’s a new account update from TaskLoop. The next TaskLoop payout is still pending. The balance isn’t withdrawable until the payout shows as completed. Case ref SER-0026.
message_27,user_48,request_48,,2026-04-06T09:30:00Z,merchant,There’s a new payment update from ShopNest. The bill was charged in a foreign currency. The final home-currency amount will use the rate applied when it settles. Order ref MER-0027.
message_28,user_52,request_52,,2024-06-04T09:30:00Z,employer,A quick update from the payroll team at Cobalt Systems. Your first salary from the new employer is EUR 1430. It is confirmed for 2024-06-15. Bank processing may take the usual time after the payroll is released. Payroll ref EMP-0028.
message_29,user_53,request_53,event_6504,2025-11-01T09:30:00Z,merchant,A note from ShopNest about your recent purchase. Your refund has been initiated but has not reached your account yet. Most refunds are completed within ten business days. We’ll send another update when the credit is completed. Order ref MER-0029.
message_30,user_54,request_54,,2026-07-01T09:30:00Z,employer,"Halo, ini tim payroll Greenfield Foods. Gaji bulanan Anda naik menjadi IDR 28310000. Perubahan ini berlaku mulai 2026-07-15. Jumlah yang diperbarui akan terlihat pada slip gaji berikutnya. Ref payroll EMP-0030."
message_31,user_57,request_57,,2026-03-29T09:30:00Z,bank,Harbor Bank has new information about one of your transactions. The matching debit and credit came from a transfer between your two accounts. Both accounts are registered under the same account holder. Both entries will remain visible in your transaction history. Txn ref BAN-0031.
message_32,user_58,request_58,event_7117,2024-11-26T09:30:00Z,employer,A quick update from the payroll team at HarborWorks. One household employment record has ended. Any income that has ended should be removed from future estimates. Payroll ref EMP-0032.
message_33,user_59,,,2025-04-23T09:30:00Z,service_provider,TaskLoop wanted to let you know about a change on your account. The next TaskLoop payout is still pending. The balance isn’t withdrawable until the payout shows as completed. Case ref SER-0033.
message_34,user_60,,,2026-01-04T09:30:00Z,employer,Ada informasi baru dari Greenfield Foods tentang gaji Anda. Gaji berikutnya berkurang menjadi IDR 21859500. Penyesuaian akan terlihat pada slip gaji berikutnya. Ref payroll EMP-0034.
message_35,user_61,request_61,event_7484,2024-02-23T09:30:00Z,employer,Ada pembaruan singkat dari tim payroll Riverline Retail. Kontrak musiman saat ini telah berakhir. Belum ada pendapatan di luar musim atau perpanjangan kontrak yang dikonfirmasi. Kami akan menghubungi Anda jika jadwal kerja atau kontrak berikutnya disetujui. Ref payroll EMP-0035.
message_36,user_64,request_64,,2024-05-23T09:30:00Z,merchant,"Halo, ShopNest mengirim pembaruan tentang pembayaran Anda. Pengembalian dana dalam mata uang asing masih diproses. Nilai kredit dalam mata uang utama dapat berubah mengikuti kurs tanggal penyelesaian. Ref pesanan MER-0036."
message_37,user_69,request_69,,2025-12-29T09:30:00Z,service_provider,A note from RentNest about recent activity on your account. The renewed lease increases monthly rent by 12%. The new amount applies from the next rent payment. The new amount will be used for the next rent payment. Case ref SER-0037.
message_38,user_70,request_70,,2024-12-05T09:30:00Z,financial_service,There’s a new account update from PocketVest. Your portfolio’s displayed market value has increased substantially. No units have been sold and no cash proceeds have been generated. The displayed value will continue to move with market prices. Account ref FIN-0038.
message_39,user_71,,,2025-04-22T09:30:00Z,employer,"Hi, Greenfield Foods payroll here. Your salary of EUR 2101 is confirmed for 2025-05-15. The receiving bank will convert it using the rate applied on the settlement date. The amount received in your home currency will depend on the settlement-date conversion. Payroll ref EMP-0039."
message_40,user_73,request_73,,2024-02-27T09:30:00Z,service_provider,Ada pemberitahuan dari StayLedger tentang aktivitas akun terbaru. Perpanjangan sewa menaikkan biaya sewa bulanan sebesar 12%. Jumlah baru akan digunakan untuk pembayaran sewa berikutnya. Ref kasus SER-0040.
message_41,user_74,request_74,event_9079,2025-07-23T09:30:00Z,service_provider,Ada pembaruan singkat untuk akun WorkPort Anda. Klien menyetujui pembayaran faktur sebesar IDR 45410000. Hanya faktur yang sudah dikonfirmasi yang dapat dimasukkan dalam pembayaran berikutnya. Ref kasus SER-0041.
message_42,user_77,request_77,event_9446,2025-10-31T09:30:00Z,merchant,There’s a new payment update from CartLane. Your refund has been initiated but has not reached your account yet. Most refunds are completed within ten business days. We’ll send another update when the credit is completed. Order ref MER-0042.
message_43,user_80,,event_9817,2025-01-30T09:30:00Z,employer,A note from Greenfield Foods about your upcoming pay. Your confirmed base salary is INR 62000. Open deals will stay out of the payout until the commission is marked as earned. Payroll ref EMP-0043.
message_44,user_81,,event_9939,2026-07-02T09:30:00Z,service_provider,"Hi, RentNest here. The renewed lease increases monthly rent by 12%. The new amount will be used for the next rent payment. Case ref SER-0044."
message_45,user_84,,,2026-03-26T09:30:00Z,merchant,A quick update from UrbanCart about your recent order. The bill was charged in a foreign currency. The final home-currency amount will use the rate applied when it settles. Order ref MER-0045.
message_46,user_85,,,2024-03-04T09:30:00Z,employer,Tim payroll Northstar Labs telah mengirim pembaruan. Gaji bulanan sementara Anda adalah IDR 8071200. Inilah jumlah yang saat ini dijadwalkan untuk periode penggajian tersebut. Ref payroll EMP-0046.
message_47,user_87,,,2025-12-24T09:30:00Z,employer,Riverline Retail payroll has posted a new update. Regular salary of EUR 704 resumes on 2026-01-15. The updated pay and deductions will appear from the next cycle. Payroll ref EMP-0047.
message_48,user_88,request_88,,2024-05-30T09:30:00Z,financial_service,Instant Rewards has shared an update about your funds. Congratulations! You’ve been selected for a cash prize. Pay the release charge today to receive the funds immediately. Pay the processing charge now to avoid losing the claim. Account ref FIN-0048.
message_49,user_90,,event_11044,2026-06-28T09:30:00Z,service_provider,PayPilot memiliki informasi baru tentang pembayaran berikutnya. Klien menyetujui pembayaran faktur sebesar IDR 16150000. Penyelesaian diperkirakan pada 2026-07-15; faktur lain yang diajukan masih menunggu persetujuan. Hanya faktur yang sudah dikonfirmasi yang dapat dimasukkan dalam pembayaran berikutnya. Ref kasus SER-0049.
message_50,user_91,,,2024-08-22T09:30:00Z,bank,Meridian Bank has reviewed the transaction on your account. The previous debit attempt failed. The bill is still outstanding and another debit will be attempted. The bill is still open and another debit may be attempted. Txn ref BAN-0050.
message_51,user_94,,event_11534,2024-11-29T09:30:00Z,service_provider,ProjectPay has new information about your next payment. The client approved an invoice payment of INR 118000. Only invoices marked as confirmed should be included in the upcoming payout. Case ref SER-0051.
