request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text
request_26,user_26,2025-08-03,family_transfer,15656000,2025-10-07,false,How much of this family transfer can I safely make? The amount is IDR 15656000 for the family transfer.
request_27,user_27,2026-07-05,purchase,27060,2026-08-21,true,Can I buy this laptop without putting next month's bills at risk? The amount is ZAR 27060 for the laptop.
request_28,user_28,2024-06-07,investment,1302.4,2024-08-15,false,How much can I invest without affecting my essential payments? The amount is EUR 1302.40 for the investment contribution.
request_29,user_29,2025-11-04,investment,51524,2025-11-23,false,How much can I invest without affecting my essential payments? The amount is ZAR 51524 for the investment contribution.
request_30,user_30,2026-04-06,debt_repayment,775.2,2026-06-06,false,Can I make this extra loan payment this month? The amount is USD 775.20 for the extra loan payment.
request_31,user_31,2024-09-03,purchase,18164000,2024-11-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 18164000 for the laptop.
request_32,user_32,2025-02-05,travel,40018,2025-04-15,false,"Can I book this family trip now, or should I wait? The amount is ZAR 40018 for the family trip."
request_33,user_33,2026-01-07,housing,118000,2026-03-15,false,Can I pay this rental deposit by the requested date? The amount is INR 118000 for the rental deposit.
request_34,user_34,2024-12-04,travel,129400,2025-01-28,false,"Can I book this family trip now, or should I wait? The amount is INR 129400 for the family trip."
request_35,user_35,2025-10-30,travel,212000,2026-01-15,false,"Can I book this family trip now, or should I wait? The amount is INR 212000 for the family trip."
request_36,user_36,2026-07-03,education,3954,2026-09-15,false,Can I pay for this professional course before enrolment closes? The amount is USD 3954 for the professional course.
request_37,user_37,2024-03-05,family_transfer,14649000,2024-05-15,false,How much of this family transfer can I safely make? The amount is IDR 14649000 for the family transfer.
request_38,user_38,2025-08-07,emergency_expense,971.3,2025-10-15,false,My repair is urgent. How much can I safely pay today? The amount is EUR 971.30 for the urgent repair.
request_39,user_39,2026-04-04,housing,208600,2026-06-15,false,Can I pay this rental deposit by the requested date? The amount is INR 208600 for the rental deposit.
